actor,class,n_events,span_min,events_per_min,ratio_path_syscall,ratio_execve_syscall,ratio_sockaddr_syscall,median_event_gap_s,frac_sub100ms_gaps,median_cmd_gap_s,long_pause_count_30s,distinct_commands,command_ttr,interactive_tool_rate,repeat_command_rate,mean_argc,mean_flags_per_cmd,chained_command_rate,syscall_entropy_bits,distinct_syscalls,fail_rate,fileop_comm_rate,privilege_syscall_rate,command_bigram_entropy_bits,novel_bigram_rate,command_gzip_ratio,interactive_tty_rate,distinct_sessions,mean_proc_branching,distinct_mitre_keys,complexity_gini,complexity_kurtosis,complexity_entropy,complexity_mad,complexity_gini_seq,complexity_kurtosis_seq,complexity_entropy_seq,complexity_mad_seq
Armin,Human,534,39.42,13.55,0.894,0.402,0.167,0.013,0.7411,0.042,16,34,0.17,0.03,0.83,3.56,1.005,0.055,2.575,16,0.0241,0.006,0.0502,5.636,0.2211,0.2059,0.6185,6,1.0,9,0.8226,6.0823,2.5197,110.5021,0.4401,31.5345,8.2051,1.5973
Hotti,Human,867,41.7,20.79,0.704,0.304,0.416,0.013,0.7067,0.063,19,58,0.2407,0.029,0.7593,4.19,1.378,0.0622,2.415,20,0.0819,0.0076,0.0642,6.619,0.4458,0.3282,0.3035,9,1.0,12,0.8399,6.9649,2.7563,134.1551,0.4796,75.1617,8.5593,1.8577
Marvin,Human,652,65.44,9.96,0.7,0.323,0.422,0.009,0.6882,0.08,27,41,0.224,0.0437,0.776,5.34,1.781,0.0874,2.267,15,0.0689,0.0053,0.0671,6.091,0.4451,0.2978,0.2898,9,1.0,8,0.8071,6.0423,2.8753,102.9062,0.4375,52.0011,8.4012,1.5045
Nico,Human,1038,45.14,23.0,0.633,0.367,0.413,0.015,0.7821,0.048,16,54,0.1496,0.0526,0.8504,5.71,1.978,0.0416,2.229,16,0.0467,0.0061,0.0915,6.272,0.2861,0.2104,0.3008,7,1.0,9,0.8709,9.9918,2.7751,137.0207,0.5171,17.7984,8.622,2.3379
GPT4.1,AI,1974,18806.59,0.1,0.45,0.22,0.587,0.002,0.7978,6.805,16,42,0.1029,0.0196,0.8971,4.21,1.328,0.0564,1.962,17,0.0663,0.0097,0.1024,6.515,0.226,0.2015,0.3454,4,1.0,10,0.8429,6.4302,2.7249,299.6033,0.6206,54.7862,8.2927,4.0254
GPT4.1_V2,AI,1616,200.04,8.08,0.492,0.303,0.542,0.003,0.748,7.792,18,41,0.0893,0.0065,0.9107,4.38,1.442,0.0675,1.844,18,0.0621,0.0112,0.0905,6.363,0.1856,0.2105,0.4075,10,1.0,11,0.8443,6.6882,2.7832,237.3094,0.597,41.0251,8.3553,3.3772
GPT4.1_V3,AI,2501,452.0,5.53,0.641,0.175,0.365,0.0,0.8708,4.957,7,37,0.0881,0.0119,0.9119,4.36,1.46,0.0714,2.718,17,0.0372,0.3499,0.0672,6.162,0.1551,0.188,0.5294,4,1.0,10,0.8555,6.1974,2.5038,394.125,0.7281,194.4391,7.0673,6.486
GPT5,AI,2139,105.91,20.2,0.497,0.276,0.543,0.002,0.8405,0.016,72,61,0.1125,0.0092,0.8875,5.03,1.69,0.0941,1.904,17,0.0775,0.0051,0.0872,7.128,0.2366,0.2122,0.357,7,1.0,11,0.8748,11.2235,2.8881,232.1633,0.5939,69.4976,8.817,3.095
