outer_i,val_human,val_ai,test_human,test_ai,n_train,n_val,n_test,selected_load_name,selected_model,selected_model_params,selected_vectorizer,val_f1_macro,val_balanced_accuracy,test_f1_macro,test_balanced_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_mcc,val_cohen_kappa,val_per_class_metrics,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_mcc,test_cohen_kappa,test_per_class_metrics
28,Nico,GPT5,Hotti,GPT4.1_V2,3281,873,501,cids_ws30_st30_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.31475667189952905,0.5,0.27180232558139533,0.5,0.22966781214203894,0.21098921573644358,0.5,0.45933562428407787,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 472.0}, ""human"": {""f1-score"": 0.6295133437990581, ""precision"": 0.45933562428407787, ""recall"": 1.0, ""support"": 401.0}}",0.18662674650698602,0.1393181700471313,0.5,0.37325349301397204,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 314.0}, ""human"": {""f1-score"": 0.5436046511627907, ""precision"": 0.37325349301397204, ""recall"": 1.0, ""support"": 187.0}}"
29,Marvin,GPT4o,Hotti,GPT4.1_V2,3332,2894,749,cids_ws40_st20_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.46555863342566944,0.5,0.2714007782101167,0.5,0.4355563234277816,0.7588372435117051,0.5,0.8711126468555632,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 373.0}, ""human"": {""f1-score"": 0.9311172668513389, ""precision"": 0.8711126468555632, ""recall"": 1.0, ""support"": 2521.0}}",0.1862483311081442,0.13875376336227566,0.5,0.3724966622162884,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 470.0}, ""human"": {""f1-score"": 0.5428015564202334, ""precision"": 0.3724966622162884, ""recall"": 1.0, ""support"": 279.0}}"
30,Nico,GPT5,Marvin,GPT4.1,1688,873,2094,cids_ws30_st30_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.31475667189952905,0.5,0.4452980132450331,0.5,0.22966781214203894,0.21098921573644358,0.5,0.45933562428407787,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 472.0}, ""human"": {""f1-score"": 0.6295133437990581, ""precision"": 0.45933562428407787, ""recall"": 1.0, ""support"": 401.0}}",0.40138490926456544,0.6444393815412938,0.5,0.8027698185291309,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 413.0}, ""human"": {""f1-score"": 0.8905960264900662, ""precision"": 0.8027698185291309, ""recall"": 1.0, ""support"": 1681.0}}"
31,Torina,GPT5,Benni,GPT4.1_V2,9728,1898,2340,cids_ws20_st10_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.20218579234972678,0.5,0.3739967897271268,0.5,0.1267123287671233,0.06422405704635016,0.5,0.2534246575342466,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 1417.0}, ""human"": {""f1-score"": 0.40437158469945356, ""precision"": 0.2534246575342466, ""recall"": 1.0, ""support"": 481.0}}",0.2987179487179487,0.35692965154503614,0.5,0.5974358974358974,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 942.0}, ""human"": {""f1-score"": 0.7479935794542536, ""precision"": 0.5974358974358974, ""recall"": 1.0, ""support"": 1398.0}}"
32,Armin,GPT4o,Hotti,GPT4.1_V2,5385,841,749,cids_ws40_st20_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.3575248281130634,0.5,0.2714007782101167,0.5,0.27824019024970276,0.3096704138807631,0.5,0.5564803804994055,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 373.0}, ""human"": {""f1-score"": 0.7150496562261268, ""precision"": 0.5564803804994055, ""recall"": 1.0, ""support"": 468.0}}",0.1862483311081442,0.13875376336227566,0.5,0.3724966622162884,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 470.0}, ""human"": {""f1-score"": 0.5428015564202334, ""precision"": 0.3724966622162884, ""recall"": 1.0, ""support"": 279.0}}"
33,Hotti,GPT5,Armin,GPT4o,3435,659,561,cids_ws30_st30_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.22104018912529552,0.5,0.35738831615120276,0.5,0.1418816388467375,0.08052159776734419,0.5,0.283763277693475,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 472.0}, ""human"": {""f1-score"": 0.44208037825059104, ""precision"": 0.283763277693475, ""recall"": 1.0, ""support"": 187.0}}",0.27807486631016043,0.3093025250936544,0.5,0.5561497326203209,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 249.0}, ""human"": {""f1-score"": 0.7147766323024055, ""precision"": 0.5561497326203209, ""recall"": 1.0, ""support"": 312.0}}"
34,Hotti,GPT4o,Benni,GPT4.1_V2,3439,436,780,cids_ws30_st30_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.3001605136436597,0.5,0.3739967897271268,0.5,0.21444954128440366,0.18395442302836462,0.5,0.4288990825688073,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 249.0}, ""human"": {""f1-score"": 0.6003210272873194, ""precision"": 0.4288990825688073, ""recall"": 1.0, ""support"": 187.0}}",0.2987179487179487,0.3569296515450362,0.5,0.5974358974358974,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 314.0}, ""human"": {""f1-score"": 0.7479935794542536, ""precision"": 0.5974358974358974, ""recall"": 1.0, ""support"": 466.0}}"
35,Nico,GPT5,Benni,GPT4.1_V2,3002,873,780,cids_ws30_st30_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.31475667189952905,0.5,0.3739967897271268,0.5,0.22966781214203894,0.21098921573644358,0.5,0.45933562428407787,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 472.0}, ""human"": {""f1-score"": 0.6295133437990581, ""precision"": 0.45933562428407787, ""recall"": 1.0, ""support"": 401.0}}",0.2987179487179487,0.3569296515450362,0.5,0.5974358974358974,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 314.0}, ""human"": {""f1-score"": 0.7479935794542536, ""precision"": 0.5974358974358974, ""recall"": 1.0, ""support"": 466.0}}"
36,Nico,GPT4.1_V2,Torina,GPT4o,7059,1428,818,cids_ws30_st15_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.35935397039030953,0.5,0.281195079086116,0.5,0.2804621848739496,0.3146361485770779,0.5,0.5609243697478992,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 627.0}, ""human"": {""f1-score"": 0.7187079407806191, ""precision"": 0.5609243697478992, ""recall"": 1.0, ""support"": 801.0}}",0.19559902200489,0.15303590963707775,0.5,0.39119804400978,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 498.0}, ""human"": {""f1-score"": 0.562390158172232, ""precision"": 0.39119804400978, ""recall"": 1.0, ""support"": 320.0}}"
37,Torina,GPT4.1_V2,Benni,GPT5,4859,710,1406,cids_ws40_st20_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.25263157894736843,0.5,0.33174904942965777,0.5,0.16901408450704225,0.11426304304701448,0.5,0.3380281690140845,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 470.0}, ""human"": {""f1-score"": 0.5052631578947369, ""precision"": 0.3380281690140845, ""recall"": 1.0, ""support"": 240.0}}",0.24822190611664297,0.24645645870471805,0.5,0.49644381223328593,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 708.0}, ""human"": {""f1-score"": 0.6634980988593155, ""precision"": 0.49644381223328593, ""recall"": 1.0, ""support"": 698.0}}"
